objID,red_shift,dist2d,flux
1.0972149943713875e+17,0.0801,0.12271239534506179,8.650100062368438e-05
1.097315008011862e+17,0.35960776,0.06273341176698201,1.2344954649796074e-05
1.0973150485927906e+17,0.086222105,0.1129522074184389,0.00021440493167444532
1.0974149890657882e+17,0.0003122023,0.03169631042855515,0.0007048144629648464
1.0974150670413547e+17,0.61629766,0.05349884123794469,7.948085908537905e-06
1.0975149585487109e+17,2.781897,0.12161543848298491,1.3388372735789744e-05
1.0976149734249606e+17,1.5555892,0.038359111248438674,2.919393801466168e-05
1.0976150355410722e+17,2.6089563,0.08168121010471761,3.4310443100236754e-05
1.097615059702573e+17,0.48242345,0.15287561500164198,1.1936725008531033e-05
1.0977149893131694e+17,1.1598,0.055326678902873544,3.4061041955474615e-05
1.097714993756501e+17,1.0292,0.08374443832220191,1.854504345196208e-05
1.097715013906755e+17,0.50828356,0.1257563759608017,2.6149128138462806e-05
1.0977150218484056e+17,0.3630198,0.07158977015779443,3.90353620570663e-05
1.0977150339716142e+17,0.0005931222,0.028568472968678205,0.00015035666729090735
1.0978149887615186e+17,0.2268734,0.11044516430616214,0.00012674069542602714
1.0978150039313826e+17,0.0003688932,0.13422829422758178,0.00043156324682058766
1.0978150072196205e+17,0.522763,0.08215441059562094,1.8866586591078278e-05
1.0978150195121922e+17,0.52463794,0.03426453504853807,1.087682150162956e-05
1.0978150438339227e+17,0.2797227,0.11217896450859605,3.567771636880934e-05
1.0978150660409744e+17,0.040719565,0.14246378989711983,0.0003027586491953116
1.0979149565172904e+17,0.4816,0.13260030578441925,3.7335222360626276e-06
1.097915014893212e+17,3.5450783e-05,0.4113026109871634,0.0007983063769643195
1.0979150511349963e+17,0.097971655,0.21392116758151178,0.00019647091076793996
1.0980149595767635e+17,0.3754,0.16984069671391397,1.1131682042200977e-05
1.0980149620968402e+17,0.0001302918,0.17285344899336633,0.00036385321015443067
1.0980149729888646e+17,0.1244,0.10507124791023971,7.2731400345778984e-06
1.0980149755042445e+17,0.8717,0.49288444729744246,2.3095799406291917e-06
1.0980149909466558e+17,1.4703,0.08269621322562326,5.0292666552801775e-06
1.0980149967748965e+17,1.027,0.2632138999895217,2.7162499918631513e-06
1.0980149978991558e+17,0.893,0.2022146491050552,2.5935750045391615e-06
1.0980150037689573e+17,0.9725,0.0775877361413579,3.763909973031332e-06
1.0980150168187547e+17,0.52259034,0.023414104802165537,1.6224561022681883e-05
1.0980150826224237e+17,0.045362845,0.3573640448555521,7.55371103878133e-05
1.0981149554266952e+17,0.00085521233,0.6783083069442921,0.0016950552633620407
1.0981149588680166e+17,0.6336,0.11757351536299088,4.945913906340138e-06
1.0981149730253702e+17,0.5841,0.25214483035877516,5.0668418225541245e-06
1.0981149940018118e+17,1.1063402,0.07957855726814494,3.855080384103834e-05
1.0981150057066202e+17,0.8512,0.08719583621539807,3.0430267870542593e-05
1.098115006771747e+17,0.4814266,0.09804221892266399,1.9759805036301258e-05
1.0981150173502806e+17,1.4327,0.4506108454835712,9.819644421643008e-06
1.0981150265212864e+17,0.081743665,0.15463075260611567,4.1954736513038036e-05
1.0981150651659362e+17,0.04589236,0.16718854262752963,7.561059968653493e-05
1.0982149584591442e+17,0.5821,0.08117112288991368,5.319393017089169e-06
1.0982149631047786e+17,1.0638,0.1117892147295891,3.1136949871779507e-06
1.098214970622244e+17,0.3859,0.14454303812033129,1.0496659342607018e-05
1.0982149974791541e+17,0.622,0.03714579549812912,3.876307488326347e-06
1.098215000231138e+17,0.7015,0.08132011848757785,2.914754986704793e-06
1.0982150124890486e+17,0.4818744,0.11623381312675964,2.0381839021865744e-05
1.098215067923626e+17,0.613,0.12037894492352998,8.438049765876107e-06
1.0982150749355928e+17,0.669,0.03246681585900607,2.7305485608459482e-06
1.0983149550748496e+17,0.7623,0.22262051696330654,5.915271647912353e-06
1.0983149593452152e+17,0.9741,0.09235445709468168,4.988708019482146e-06
1.0983149605468845e+17,0.6304,0.13186636127416448,4.08367335088163e-06
1.0983149666902139e+17,0.1133,0.11026437012054545,9.158933304812914e-06
1.098314970956107e+17,0.0685,0.06827434020926215,0.00017054110541817193
1.0983149959428598e+17,0.468,0.1450607132352757,1.4353015103552025e-05
1.0983150056208691e+17,0.5164168,0.08137614098178383,1.4345568767263709e-05
1.0983150063795614e+17,1.031,0.07072350908974397,2.94147002932732e-06
