objID,avg_flux
1.0970150403480454e+17,3.3598812194668426e-06
1.0976150459840482e+17,1.1800399988715071e-05
1.0976150835427346e+17,1.2758800039591733e-05
1.0977150527613334e+17,4.9403702178096864e-06
1.0981149791717558e+17,3.583599891499034e-06
1.098415025834662e+17,5.475929810927482e-06
1.0985149883629499e+17,2.417940095256199e-06
1.098615101404498e+17,2.2307799554255325e-06
1.0987151161947586e+17,6.712770118610933e-05
1.0970150168867947e+17,4.363989773992216e-06
1.0971149941982403e+17,4.767890004586661e-06
1.0973149882558006e+17,2.4456899154756684e-06
1.0973150715243442e+17,1.3946299986855593e-05
1.0973150994658011e+17,3.6723099583468866e-06
1.0975149577650835e+17,6.876720779776709e-06
1.0976149878211706e+17,6.823385092502576e-06
1.0981150084616232e+17,5.568991991822259e-06
1.0982150321505347e+17,0.00018826700397767127
1.0985149930898698e+17,7.725800060143229e-06
1.0987150422506027e+17,6.710868983645923e-05
1.0988150111668246e+17,3.275759922871657e-06
1.098915101746624e+17,1.203299962071469e-05
1.0969149581706557e+17,2.5764900328795193e-06
1.0970150649179317e+17,3.232149902032688e-05
1.0978150918916331e+17,6.277584146697667e-05
1.0979150025682936e+17,2.8619399472518126e-06
1.098614952424121e+17,5.499720145962783e-06
1.0987149830335213e+17,9.170609700959176e-06
1.097015013841309e+17,1.1577024997677654e-05
1.0972149477454245e+17,3.0221999622881413e-06
1.0975149576802389e+17,0.00010653900244506076
1.097614980865722e+17,5.558984994422644e-05
1.0978149613832502e+17,9.688779755379073e-06
1.0982150310576358e+17,6.186749942571623e-06
1.0985149765128901e+17,4.406990046845749e-05
1.0988149587447205e+17,2.272789970447775e-06
1.0988150289935866e+17,0.0001751609961502254
1.0988150318275906e+17,2.8162690341559937e-05
1.099114983089601e+17,8.332030120072886e-06
1.0969150150439989e+17,2.6389000140625285e-06
1.0969150688944682e+17,3.0392066795078185e-06
1.0970150120275746e+17,5.496339781529969e-06
1.0970150407852709e+17,6.41544112214534e-06
1.0977150028596144e+17,4.042619912070222e-05
1.0980149584649875e+17,1.774869997461792e-05
1.0981151108502267e+17,6.3228499129763804e-06
1.0986149412689616e+17,4.857350177189801e-06
1.0987151163648926e+17,8.752480425755493e-06
