red_shift,dist2d,flux
0.0801,0.12271239534506179,8.650100062368438e-05
0.35960776,0.06273341176698201,1.2344954649796074e-05
0.086222105,0.1129522074184389,0.00021440493167444532
0.0003122023,0.03169631042855515,0.0007048144629648464
0.61629766,0.05349884123794469,7.948085908537905e-06
2.781897,0.12161543848298491,1.3388372735789744e-05
1.5555892,0.038359111248438674,2.919393801466168e-05
2.6089563,0.08168121010471761,3.4310443100236754e-05
0.48242345,0.15287561500164198,1.1936725008531033e-05
1.1598,0.055326678902873544,3.4061041955474615e-05
1.0292,0.08374443832220191,1.854504345196208e-05
0.50828356,0.1257563759608017,2.6149128138462806e-05
0.3630198,0.07158977015779443,3.90353620570663e-05
0.0005931222,0.028568472968678205,0.00015035666729090735
0.2268734,0.11044516430616214,0.00012674069542602714
0.0003688932,0.13422829422758178,0.00043156324682058766
0.522763,0.08215441059562094,1.8866586591078278e-05
0.52463794,0.03426453504853807,1.087682150162956e-05
0.2797227,0.11217896450859605,3.567771636880934e-05
0.040719565,0.14246378989711983,0.0003027586491953116
0.4816,0.13260030578441925,3.7335222360626276e-06
3.5450783e-05,0.4113026109871634,0.0007983063769643195
0.097971655,0.21392116758151178,0.00019647091076793996
0.3754,0.16984069671391397,1.1131682042200977e-05
0.0001302918,0.17285344899336633,0.00036385321015443067
0.1244,0.10507124791023971,7.2731400345778984e-06
0.8717,0.49288444729744246,2.3095799406291917e-06
1.4703,0.08269621322562326,5.0292666552801775e-06
1.027,0.2632138999895217,2.7162499918631513e-06
0.893,0.2022146491050552,2.5935750045391615e-06
0.9725,0.0775877361413579,3.763909973031332e-06
0.52259034,0.023414104802165537,1.6224561022681883e-05
0.045362845,0.3573640448555521,7.55371103878133e-05
0.6336,0.11757351536299088,4.945913906340138e-06
0.5841,0.25214483035877516,5.0668418225541245e-06
1.1063402,0.07957855726814494,3.855080384103834e-05
0.8512,0.08719583621539807,3.0430267870542593e-05
0.4814266,0.09804221892266399,1.9759805036301258e-05
1.4327,0.4506108454835712,9.819644421643008e-06
0.081743665,0.15463075260611567,4.1954736513038036e-05
0.04589236,0.16718854262752963,7.561059968653493e-05
0.5821,0.08117112288991368,5.319393017089169e-06
1.0638,0.1117892147295891,3.1136949871779507e-06
0.3859,0.14454303812033129,1.0496659342607018e-05
0.622,0.03714579549812912,3.876307488326347e-06
0.7015,0.08132011848757785,2.914754986704793e-06
0.4818744,0.11623381312675964,2.0381839021865744e-05
0.613,0.12037894492352998,8.438049765876107e-06
0.669,0.03246681585900607,2.7305485608459482e-06
0.7623,0.22262051696330654,5.915271647912353e-06
0.9741,0.09235445709468168,4.988708019482146e-06
0.6304,0.13186636127416448,4.08367335088163e-06
0.1133,0.11026437012054545,9.158933304812914e-06
0.0685,0.06827434020926215,0.00017054110541817193
0.468,0.1450607132352757,1.4353015103552025e-05
0.5164168,0.08137614098178383,1.4345568767263709e-05
1.031,0.07072350908974397,2.94147002932732e-06
0.3631,0.17254309546633437,3.7755488645214224e-05
0.9774,0.2604304885373749,1.1130866520640362e-05
0.79,0.24255442870406144,2.3134600724006305e-06
0.667,0.02818634079680698,2.4560300744269625e-06
0.66923106,0.04969762259504594,9.550488408017878e-06
0.672,0.23248537959682183,2.279939963045763e-06
2.6444011e-05,0.31400980516299604,0.0026091733145424062
1.4054,0.15789933104079343,1.161492496066785e-05
1.5596,0.09154950329463414,4.394787481487583e-06
0.3639,0.08682952832737716,3.081138511333848e-05
0.9279,0.11305809079371591,2.899467517636367e-06
0.3094,0.06522620746368794,4.117763978683797e-06
3.2441123,0.06567591097295389,1.6567489518293816e-05
0.4712,0.09587934456196638,1.3791052286093043e-05
0.6234063,0.08514794919493822,1.3862433307723324e-05
0.481,0.05546880646795539,3.0993624659458877e-05
0.667,0.12246742344428341,5.442993824544828e-06
0.20282917,0.09908625965870435,0.00011198720828057655
0.928,0.11390546661927867,3.7468849996002973e-06
0.285,0.20895203170298082,3.866521533032378e-05
0.10316592,0.2844072305607611,0.00016385249728045892
0.847,0.1720685713530583,4.7105559815463495e-06
0.63,0.15781638725948222,4.943746944263694e-06
0.631,0.42237240449962443,3.5516450225259177e-06
0.631,0.06364231958180452,3.546881695607832e-06
0.00042023702,0.09155492764937094,0.00012515614382989173
0.4379,0.16099273023476224,1.976976013793319e-05
0.3709,0.08764679941178619,7.99335361989506e-06
0.6762,0.0735641993244049,3.2543987629196636e-06
1.1713417,0.019347945548617986,2.3558850113080222e-05
1.03,0.24189024166614428,2.7767167315081074e-06
3.747,0.38404956180405914,5.7706602092366666e-06
0.36369655,0.01988295115145399,5.183796666743648e-05
0.3602662,0.0589682561776135,3.386819992101664e-05
1.257,0.13131097017216056,5.583614949955518e-06
0.9366,0.10210739629096681,8.240326353968288e-06
0.961,0.10329637602561478,2.56573997603482e-06
0.00034068033,0.11815171737729127,0.00014439415267238824
2.0034,0.013822382258272273,3.4421338568790816e-05
0.6708,0.16540541407204612,1.047745496407515e-05
0.2063,0.10911897618509223,3.885286275817634e-06
0.8424,0.041408459723198725,2.3982980110304196e-06
0.7615,0.09969970370401542,4.757045543455105e-06
0.3543,0.01812925638392857,8.28942950192868e-06
0.08551911,0.05338487397091145,0.00032325225220120046
0.000959812,0.28368639902871673,0.00011240525054745376
0.09888583,0.11344525681945826,0.00043284667319514684
8.821953e-05,0.255505230504958,5.3351875067164656e-05
0.0981,0.17880615957945856,0.00010745741813231938
0.9285,0.04836050732029905,1.1292032468190882e-05
0.1288,0.17203284248764195,3.756726654400053e-06
0.4207,0.0891576685111803,2.388634565401541e-05
0.6685,0.02414835221082707,5.568893051041903e-06
1.1593,0.2025267809961243,2.8868542878106903e-06
0.16772972,0.15623285946457688,9.329021413577721e-05
0.3458,0.11246986708289632,3.7195018649072153e-05
1.3612646,0.043313568298512274,4.143843998463126e-05
0.779,0.4287133447754397,5.912449978495715e-06
1.603,0.2560064323062047,8.626880116935354e-06
0.3693,0.0576721918653005,2.1777847474655382e-05
0.0009700152,0.021556307178812337,0.0002271265497256536
0.4127,0.12900923121964056,2.7934899662795944e-06
1.249,0.34475410288360164,2.7999799385725055e-06
0.9717,0.19959339399994844,3.275579956607544e-06
0.34,0.08798700583232834,1.011400228081685e-05
0.36197677,0.14923748463090955,3.532699985145074e-05
0.5176,0.013872513092241991,3.815997501988022e-06
0.3650194,0.07678624058039005,5.696876505680848e-05
0.5176,0.07958230250944358,1.4085999888872417e-05
7.554323e-05,0.06521289139849609,0.00047462064642733075
0.3731,0.22055588376495303,2.3097018294554967e-05
0.027746605,0.13053152379140032,0.00023823966572914893
0.00080878986,0.09248409934442169,6.486242500614026e-05
0.4668,0.08371703575288582,1.907975001813611e-05
0.9266,0.08662533718406691,2.650956654785356e-06
0.4141,0.2043779702026972,6.907331999173038e-06
0.2218,0.13677553391327466,3.094696307925915e-05
0.00013975515,0.12127869761985653,0.000292346455601298
0.647,0.1377830720106815,2.8956098958587972e-06
0.68,0.11757451762668114,4.3124024955432105e-06
0.8827,0.11502593560953829,2.963420034315537e-06
0.7394,0.23924391040232487,2.403779944870621e-06
0.12794276,0.12179963818575588,7.738084070083192e-05
3.0618248,0.07791156754074098,9.606195044398192e-06
0.8458,0.2556296134406342,2.4612349989183713e-06
0.7677,0.23803968083325094,2.7972199794541145e-06
0.53,0.17710648184216354,2.789738744013448e-06
0.4661,0.11206278764611378,6.6862501171272015e-06
0.22,0.3701522499302092,2.4566899128330988e-06
0.2217,0.17943478659775056,3.335472930692569e-05
0.22,0.17449689193753437,5.042063094151672e-06
0.703,0.13705468953372157,5.6457008289119886e-06
0.00028154967,0.25701756546119764,1.8757705422305866e-05
0.00028154967,0.0895520019785045,2.0735350062750513e-05
0.1041,0.2604017375973544,7.07718136254698e-05
0.48,0.08833120284413024,1.0814597953867632e-05
0.957,0.3130929486856714,2.776302017082344e-06
0.58,0.1621349267628704,7.742928119114367e-06
0.22,0.07139752756973625,2.5442894386489774e-05
0.43372777,0.05455150444121747,2.208797045836143e-05
0.1354,0.06620995622611048,5.2894280543114295e-06
0.69154555,0.17379089226733724,1.153101048227032e-05
0.84,0.10890931656146763,5.062202490080381e-06
0.5159787,0.08209454149676385,1.1525669378897874e-05
0.1492,0.10531791244036992,3.4442928803660574e-06
0.228,0.1350174021675523,6.361830600098983e-06
0.00021319077,0.29239179326209924,0.0008060280492322312
0.1045,0.23012430011685595,5.201077533456555e-05
5.505031e-06,0.14847780736796026,0.0010029148324974813
0.36,0.12711702905129785,1.2531250477978676e-05
0.49997303,0.08737433303117906,1.3117733437360988e-05
0.3973,0.04095392078182918,7.462199970508333e-06
0.4296,0.042822263589381244,8.962827156638549e-06
0.0,0.03066880018585347,7.879719987613498e-06
1.094,0.455021052676017,3.82704001822276e-06
0.3013,0.028486575518998056,1.193001153296791e-05
0.4646,0.2742675471517118,3.6973299302189844e-06
0.451,0.10694169100344023,9.255907834334434e-06
0.4819,0.02578181587797546,1.0041702968438211e-05
0.5304,0.12045087704567346,3.5753750466938072e-06
0.7005,0.20495004944686196,3.201022479970561e-06
0.5168,0.12599493532918052,3.363426259284097e-06
0.5456,0.0700128161449399,2.8923899814496203e-06
0.6699,0.42373115972582465,2.4533098894607974e-06
0.1589,0.2277797483531595,3.2824700610945e-06
2.462461e-05,0.20129417228988888,0.001176531363109296
0.3532,0.04131911413026342,3.3597071770990235e-06
0.4206,0.07055574297809745,2.6477949859327055e-06
0.2215,0.08372168784068268,2.9605433458831007e-06
0.27,0.13116941642484517,3.766940062632784e-05
0.5417,0.12426718857118832,8.068740174037106e-06
0.1329,0.03997681333791543,0.00017491529870312662
0.005,0.1828587584723706,6.71974756490575e-06
0.33,0.09114468217176935,1.0049933962363866e-05
0.0,0.061237991700089256,6.757824000184579e-06
0.539,0.18676274705605053,8.346227502897818e-06
0.17,0.08235187018760316,1.638180241570808e-05
0.0,0.09249991225356144,2.866233292782757e-06
0.6938,0.21890766375592755,2.759489916570601e-06
0.1649,0.11507603375978898,8.526161452339563e-05
0.487,0.26377705209943,8.23402009094328e-06
0.74,0.13164452571523474,7.793923941790126e-06
0.5311,0.39390743470128275,8.222521870493438e-06
0.5149,0.11187155812226386,1.5374255053757224e-05
0.481,0.3644477734840858,2.446389999022358e-06
0.00047293765,0.1314876200549013,0.0004199812948868117
2.8948,0.46229314461271537,9.562790182826575e-06
0.3456,0.08198122690281055,3.5620745165942935e-05
0.3402,0.042671488821807727,5.068880955150234e-06
0.6928,0.13900961673830003,2.4249800389952725e-06
0.23,0.12270997011113095,4.826848311899489e-05
0.1042,0.07361152002635876,0.0003049360020668246
0.7369,0.053824661150911654,3.826819985468839e-06
0.0011992798,0.12041256038695186,0.00018616087436384987
0.00024198217,0.09329972701690037,0.0004493612480776695
0.934,0.32465398032004955,5.818804993396043e-06
0.16581658,0.06071287715596107,0.00010140573350428086
0.7581,0.2530929653551289,2.6905866737555093e-06
0.32,0.31762865181843286,1.055928669302375e-05
0.5266,0.1036931715346356,5.799801670036686e-06
0.3447,0.29962459767482336,3.0789999527769396e-06
